o,c,h,l,v,time,interval,figi
203.24,202.6,204.44,200.21,15320881,2006-07-01T07:00:00Z,month,BBG004731354
206.13,213.36,233.38,204.06,215434976,2007-07-01T07:00:00Z,month,BBG004731354
272,245.9,279,224,268750372,2008-07-01T07:00:00Z,month,BBG004731354
170.5,190.87,195.3,154.2,407392856,2009-07-01T07:00:00Z,month,BBG004731354
222.32,192.79,232,190.66,390583634,2010-06-01T07:00:00Z,month,BBG004731354
242.34,236.17,252.27,226.81,225935940,2011-06-01T07:00:00Z,month,BBG004731354
208,204.5,215,194.88,259870240,2012-06-01T07:00:00Z,month,BBG004731354
209.9,226.9,235.7,204,179471190,2013-06-01T07:00:00Z,month,BBG004731354
227.9,249.3,258.3,227.8,130689260,2014-06-01T07:00:00Z,month,BBG004731354
236.4,232,254.35,226,88412210,2015-06-01T07:00:00Z,month,BBG004731354
316,330.0,348,309.5,102420620,2016-06-01T07:00:00Z,month,BBG004731354
301.75,323,338,291,129408960,2017-06-01T07:00:00Z,month,BBG004731354
384.6,396.15,399.85,371.4,8532948,2018-06-01T07:00:00Z,month,BBG004731354
428,414.5,445.05,407.1,8421304,2019-06-01T07:00:00Z,month,BBG004731354
308,335.65,386.95,293.5,43668478,2020-04-01T07:00:00Z,month,BBG004731354
