o,c,h,l,v,time,interval,figi
14.73,15.74,18.32,14.16,5371400,2001-12-01T07:00:00Z,month,BBG004RVFFC0
24.68,23.69,24.98,23.51,1662000,2002-12-01T07:00:00Z,month,BBG004RVFFC0
30.16,32.85,33.65,29.54,27090300,2003-12-01T07:00:00Z,month,BBG004RVFFC0
42.205,40.979,44.4,36.58,16142700,2004-12-01T07:00:00Z,month,BBG004RVFFC0
98.001,95.223,101.72,93.001,18941700,2005-12-01T07:00:00Z,month,BBG004RVFFC0
129,122.02,131.47,119,85283624,2006-12-01T07:00:00Z,month,BBG004RVFFC0
145.33,148.49,160.87,140.0,95315672,2007-12-01T07:00:00Z,month,BBG004RVFFC0
45.63,55.26,63.5,20.7,59292058,2008-12-01T07:00:00Z,month,BBG004RVFFC0
139.9,139.69,148.45,133.49,57423628,2009-12-01T07:00:00Z,month,BBG004RVFFC0
148.5,148.21,154.09,146.05,23984750,2010-11-01T07:00:00Z,month,BBG004RVFFC0
149.99,166.8,170.5,139.45,49796580,2011-11-01T07:00:00Z,month,BBG004RVFFC0
197,197.41,203.8,189.81,26876720,2012-11-01T07:00:00Z,month,BBG004RVFFC0
220.57,202.81,222.9,202.25,29597150,2013-11-01T07:00:00Z,month,BBG004RVFFC0
258.75,248.65,264.25,243.1,33753480,2014-11-01T07:00:00Z,month,BBG004RVFFC0
328.75,314.05,355.45,314.05,30477440,2015-11-01T07:00:00Z,month,BBG004RVFFC0
354.85,388.3,404.8,347.5,38974620,2016-11-01T07:00:00Z,month,BBG004RVFFC0
439,456.7,500.0,434.2,31893290,2017-11-01T07:00:00Z,month,BBG004RVFFC0
780.1,712.7,824,687.6,2639112,2018-11-01T07:00:00Z,month,BBG004RVFFC0
747,740.4,799.7,738.5,34243982,2019-11-01T07:00:00Z,month,BBG004RVFFC0
538.8,550.0,629.5,455.5,155758083,2020-04-01T07:00:00Z,month,BBG004RVFFC0
